starttime	seconds	ctime	dtime	ttime	wait
Tue Feb 13 11:19:54 2024	1707819594	0	108	108	108
Tue Feb 13 11:19:52 2024	1707819592	0	109	109	108
Tue Feb 13 11:19:45 2024	1707819585	0	109	109	108
Tue Feb 13 11:19:54 2024	1707819594	0	109	109	109
Tue Feb 13 11:19:54 2024	1707819594	0	109	109	109
Tue Feb 13 11:19:54 2024	1707819594	0	109	109	109
Tue Feb 13 11:19:47 2024	1707819587	0	109	109	109
Tue Feb 13 11:19:52 2024	1707819592	0	109	109	109
Tue Feb 13 11:19:48 2024	1707819588	0	109	109	109
Tue Feb 13 11:19:45 2024	1707819585	0	110	110	109
Tue Feb 13 11:19:51 2024	1707819591	0	110	110	109
Tue Feb 13 11:19:34 2024	1707819574	0	110	110	110
Tue Feb 13 11:19:52 2024	1707819592	0	110	110	110
Tue Feb 13 11:19:53 2024	1707819593	0	110	110	110
Tue Feb 13 11:19:50 2024	1707819590	0	110	110	110
Tue Feb 13 11:19:54 2024	1707819594	0	110	110	110
Tue Feb 13 11:19:48 2024	1707819588	0	110	110	110
Tue Feb 13 11:19:50 2024	1707819590	0	110	110	110
Tue Feb 13 11:19:47 2024	1707819587	0	110	110	110
Tue Feb 13 11:19:48 2024	1707819588	0	110	110	110
Tue Feb 13 11:19:44 2024	1707819584	0	110	110	110
Tue Feb 13 11:19:47 2024	1707819587	0	110	110	110
Tue Feb 13 11:19:47 2024	1707819587	0	110	110	110
Tue Feb 13 11:19:44 2024	1707819584	0	110	110	110
Tue Feb 13 11:19:53 2024	1707819593	0	110	110	110
Tue Feb 13 11:19:34 2024	1707819574	0	110	110	110
Tue Feb 13 11:19:31 2024	1707819571	0	110	110	110
Tue Feb 13 11:19:52 2024	1707819592	0	111	111	110
Tue Feb 13 11:19:47 2024	1707819587	0	111	111	110
Tue Feb 13 11:19:31 2024	1707819571	0	111	111	110
Tue Feb 13 11:19:54 2024	1707819594	0	111	111	111
Tue Feb 13 11:19:50 2024	1707819590	0	111	111	111
Tue Feb 13 11:19:34 2024	1707819574	0	111	111	111
Tue Feb 13 11:19:48 2024	1707819588	0	111	111	111
Tue Feb 13 11:19:55 2024	1707819595	0	111	111	111
Tue Feb 13 11:19:51 2024	1707819591	0	111	111	111
Tue Feb 13 11:19:50 2024	1707819590	0	111	111	111
Tue Feb 13 11:19:33 2024	1707819573	0	111	111	111
Tue Feb 13 11:19:48 2024	1707819588	0	111	111	111
Tue Feb 13 11:19:31 2024	1707819571	0	111	111	111
Tue Feb 13 11:19:37 2024	1707819577	0	111	111	111
Tue Feb 13 11:19:36 2024	1707819576	0	111	111	111
Tue Feb 13 11:19:45 2024	1707819585	0	111	111	111
Tue Feb 13 11:19:52 2024	1707819592	0	111	111	111
Tue Feb 13 11:19:31 2024	1707819571	0	111	111	111
Tue Feb 13 11:19:48 2024	1707819588	0	111	111	111
Tue Feb 13 11:19:49 2024	1707819589	0	111	111	111
Tue Feb 13 11:19:44 2024	1707819584	0	111	111	111
Tue Feb 13 11:19:49 2024	1707819589	0	111	111	111
Tue Feb 13 11:19:33 2024	1707819573	0	111	111	111
Tue Feb 13 11:19:44 2024	1707819584	0	111	111	111
Tue Feb 13 11:19:37 2024	1707819577	0	111	111	111
Tue Feb 13 11:19:50 2024	1707819590	0	112	112	111
Tue Feb 13 11:19:32 2024	1707819572	0	112	112	111
Tue Feb 13 11:19:53 2024	1707819593	0	112	112	112
Tue Feb 13 11:19:39 2024	1707819579	0	112	112	112
Tue Feb 13 11:19:37 2024	1707819577	0	112	112	112
Tue Feb 13 11:19:53 2024	1707819593	0	112	112	112
Tue Feb 13 11:19:44 2024	1707819584	0	112	112	112
Tue Feb 13 11:19:51 2024	1707819591	0	112	112	112
Tue Feb 13 11:19:51 2024	1707819591	0	112	112	112
Tue Feb 13 11:19:46 2024	1707819586	0	112	112	112
Tue Feb 13 11:19:49 2024	1707819589	0	112	112	112
Tue Feb 13 11:19:51 2024	1707819591	0	112	112	112
Tue Feb 13 11:19:38 2024	1707819578	0	113	113	112
Tue Feb 13 11:19:41 2024	1707819581	0	113	113	112
Tue Feb 13 11:19:46 2024	1707819586	0	113	113	112
Tue Feb 13 11:19:38 2024	1707819578	0	113	113	112
Tue Feb 13 11:19:46 2024	1707819586	0	113	113	113
