starttime	seconds	ctime	dtime	ttime	wait
Tue Feb 13 11:20:19 2024	1707819619	0	111	111	111
Tue Feb 13 11:20:17 2024	1707819617	0	111	111	111
Tue Feb 13 11:20:14 2024	1707819614	0	111	111	111
Tue Feb 13 11:20:07 2024	1707819607	0	111	111	111
Tue Feb 13 11:20:16 2024	1707819616	0	111	111	111
Tue Feb 13 11:20:21 2024	1707819621	0	111	111	111
Tue Feb 13 11:20:08 2024	1707819608	0	111	111	111
Tue Feb 13 11:20:11 2024	1707819611	0	111	111	111
Tue Feb 13 11:20:18 2024	1707819618	0	111	111	111
Tue Feb 13 11:20:21 2024	1707819621	0	111	111	111
Tue Feb 13 11:20:19 2024	1707819619	0	111	111	111
Tue Feb 13 11:20:10 2024	1707819610	0	111	111	111
Tue Feb 13 11:20:17 2024	1707819617	0	111	111	111
Tue Feb 13 11:20:16 2024	1707819616	0	111	111	111
Tue Feb 13 11:20:08 2024	1707819608	0	111	111	111
Tue Feb 13 11:20:12 2024	1707819612	0	111	111	111
Tue Feb 13 11:20:15 2024	1707819615	0	111	111	111
Tue Feb 13 11:20:18 2024	1707819618	0	111	111	111
Tue Feb 13 11:20:21 2024	1707819621	0	111	111	111
Tue Feb 13 11:20:10 2024	1707819610	0	111	111	111
Tue Feb 13 11:20:16 2024	1707819616	0	111	111	111
Tue Feb 13 11:20:15 2024	1707819615	0	111	111	111
Tue Feb 13 11:20:20 2024	1707819620	0	111	111	111
Tue Feb 13 11:20:09 2024	1707819609	0	111	111	111
Tue Feb 13 11:20:14 2024	1707819614	0	111	111	111
Tue Feb 13 11:20:04 2024	1707819604	0	111	111	111
Tue Feb 13 11:20:13 2024	1707819613	0	111	111	111
Tue Feb 13 11:20:16 2024	1707819616	0	111	111	111
Tue Feb 13 11:20:19 2024	1707819619	0	111	111	111
Tue Feb 13 11:20:09 2024	1707819609	0	111	111	111
Tue Feb 13 11:20:00 2024	1707819600	0	111	111	111
Tue Feb 13 11:20:09 2024	1707819609	0	111	111	111
Tue Feb 13 11:20:20 2024	1707819620	0	111	111	111
Tue Feb 13 11:20:08 2024	1707819608	0	111	111	111
Tue Feb 13 11:20:00 2024	1707819600	0	111	111	111
Tue Feb 13 11:20:04 2024	1707819604	0	111	111	111
Tue Feb 13 11:20:15 2024	1707819615	0	111	111	111
Tue Feb 13 11:20:12 2024	1707819612	0	111	111	111
Tue Feb 13 11:20:21 2024	1707819621	0	111	111	111
Tue Feb 13 11:20:20 2024	1707819620	0	111	111	111
